,FIPS,LACCESS_POP10,LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,MEDHHINC15,POVRATE15,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16
10,1021,1456.677891,1469.89911,736.9575767,637.4195275,499.8050984,641.1107684,Chilton County, Alabama,"43,643","43,687","43,582","43,634","43,769","43,717","43,896","44,117","44,153",10.2,13.3,33.0,36.3,42767.0,20.2,0.480681194,0.501939311,4.42249818,0.160227065,0.114077116,-28.80284215
11,1023,2612.253868,2702.895199,1611.534003,1010.379176,380.7032748,423.0366236,Choctaw County, Alabama,"13,859","13,607","13,561","13,396","13,317","13,233","13,049","12,935","12,841",14.7,18.1,33.0,36.3,35089.0,24.4,0.440949511,0.459770115,4.268199234,0.220474756,0.229885057,4.268199234
12,1025,5060.660983,5712.926332,2901.694996,2881.596829,752.0063502,943.7213259,Clarke County, Alabama,"25,833","25,582","25,154","25,122","24,865","24,703","24,349","24,097","23,920",14.1,16.3,33.0,36.3,37317.0,22.2,0.938159643,1.026694045,9.437029432,0.195449926,0.246406571,26.07145791
13,1027,742.7716979,642.7409199,268.7410821,324.1809049,186.3709324,192.8890387,Clay County, Alabama,"13,932","13,686","13,432","13,404","13,440","13,413","13,393","13,367","13,275",13.2,14.6,33.0,36.3,38908.0,18.4,0.292226768,0.298284862,2.073079791,0.219170076,0.223713647,2.073079791
14,1029,146.8634959,789.5351429,80.38999127,310.177285,208.8075708,209.2639517,Cleburne County, Alabama,"14,972","14,928","14,889","14,976","15,025","14,917","14,853","14,906","14,987",11.0,12.6,33.0,36.3,42136.0,18.9,0.535905681,0.336179654,-37.26887649,0.20096463,0.134471862,-33.08680159
15,1031,11395.3204,10486.08598,3708.844615,2987.491344,884.1118849,543.2931099,Coffee County, Alabama,"49,948","50,435","51,136","50,677","50,655","50,952","51,145","51,777","51,909",12.1,15.9,33.0,36.3,46858.0,16.2,0.71380418,0.780990687,9.412456368,0.099139469,0.13667337,37.85969502
16,1033,9519.551153,11095.6663,2770.284911,3565.961744,532.4915335,682.2699334,Colbert County, Alabama,"54,428","54,535","54,572","54,533","54,468","54,370","54,367","54,509","54,762",13.5,18.7,33.0,36.3,41171.0,18.1,0.880184839,0.97557384,10.83738289,0.183371841,0.147256429,-19.69517919
17,1035,3725.78157,3558.35944,1955.507812,1750.034804,372.4612989,325.6632103,Conecuh County, Alabama,"13,228","13,192","13,044","12,911","12,679","12,680","12,501","12,435","12,277",14.5,17.4,33.0,36.3,29981.0,28.3,0.227496777,0.559328805,145.8622986,0.379161295,0.079904115,-78.92608869
18,1037,2837.242738,2828.930334,752.8597844,1168.301536,169.1496671,280.1719889,Coosa County, Alabama,"11,539","11,487","11,347","11,256","11,038","10,938","10,826","10,757","10,715",13.2,17.3,33.0,36.3,36078.0,20.3,0.0,0.092515496,,0.0,0.092515496,
19,1039,3334.140948,3769.122248,1150.606434,1650.453898,663.0434589,512.5427244,Covington County, Alabama,"37,765","38,019","37,804","37,812","37,756","37,551","37,382","37,078","36,986",13.1,14.7,33.0,36.3,36355.0,22.3,0.604992503,0.722195474,19.37263193,0.236736197,0.160487883,-32.20813495
20,1041,5383.8864,5278.966487,2202.067047,2369.451736,372.7253655,250.8755645,Crenshaw County, Alabama,"13,906","13,899","13,921","13,854","13,859","13,857","13,922","13,861","13,824",12.6,16.5,33.0,36.3,36759.0,19.9,0.287811196,0.575249874,99.87056878,0.431716794,0.287624937,-33.37647707
21,1043,6295.387759,5900.270202,2535.502139,2500.310001,985.3201156,1050.953043,Cullman County, Alabama,"80,406","80,401","80,273","80,688","81,067","81,764","82,456","82,836","83,442",11.9,14.4,33.0,36.3,39290.0,19.4,0.646677693,0.765287529,18.34141448,0.161669423,0.182211317,12.70610903
22,1045,13846.95984,14036.97012,5167.723678,5306.194211,538.9416152,615.0935476,Dale County, Alabama,"50,251","50,112","50,284","49,772","49,417","49,349","49,301","49,254","48,956",13.5,14.1,33.0,36.3,45294.0,18.5,0.638633325,0.710977492,11.3279663,0.159658331,0.121881856,-23.66082311
23,1047,7785.597207,7640.056868,5067.105731,5063.957922,1066.855647,988.8099812,Dallas County, Alabama,"43,820","43,256","42,795","41,983","41,562","40,948","40,092","39,235","38,310",15.6,19.0,33.0,36.3,29682.0,34.6,0.462363603,0.623736933,34.90182381,0.184945441,0.199595818,7.921459045
24,1049,2679.852662,2679.852662,1603.039231,1540.906864,1109.969476,739.9427629,DeKalb County, Alabama,"71,109","71,352","70,937","70,911","70,999","71,112","71,101","71,404","71,385",11.2,13.4,33.0,36.3,37305.0,20.6,0.54657828,0.561671534,2.761407693,0.196207588,0.224668614,14.50556857
25,1051,15011.50492,15064.36659,5201.940725,5506.02451,878.8675789,981.2916718,Elmore County, Alabama,"79,303","80,009","80,216","80,569","80,568","80,924","81,263","81,416","81,887",9.9,13.4,33.0,36.3,53548.0,14.0,0.399970002,0.480059084,20.02377216,0.087493438,0.098473658,12.54976437
26,1053,5188.706191,5058.775403,2903.320779,2766.608819,557.9560123,567.5967619,Escambia County, Alabama,"38,319","38,201","38,023","37,763","37,738","37,665","37,488","36,999","36,748",12.3,17.8,33.0,36.3,36840.0,24.4,0.602062719,0.747144839,24.09750936,0.15705984,0.106734977,-32.04184011
27,1055,24779.19275,23289.82682,9001.224579,9817.063943,1164.010964,1360.397062,Etowah County, Alabama,"104,430","104,358","104,273","103,883","103,407","103,003","102,849","102,937","102,501",11.6,16.8,33.0,36.3,42145.0,19.0,0.728290243,0.82744388,13.61457715,0.162907028,0.136284874,-16.34193073
28,1057,437.5118941,407.3867531,229.2411441,233.5222242,248.0121931,444.9219842,Fayette County, Alabama,"17,241","17,047","16,941","16,819","16,768","16,693","16,555","16,474","16,433",12.7,15.1,33.0,36.3,37085.0,20.4,0.879765396,0.786068448,-10.6502197,0.410557185,0.241867215,-41.08805694
29,1059,3073.774789,3663.441736,1155.260337,1306.401173,459.4653077,456.15588,Franklin County, Alabama,"31,704","31,771","31,689","31,552","31,561","31,541","31,654","31,590","31,363",12.8,13.9,33.0,36.3,38535.0,21.1,0.535146536,0.538366533,0.601703772,0.188875248,0.316686196,67.66950629
30,1061,605.9970532,605.1933947,249.2305715,249.3572474,182.2589834,253.3625779,Geneva County, Alabama,"26,790","26,759","26,927","26,682","26,597","26,636","26,498","26,410","26,314",12.6,13.9,33.0,36.3,36289.0,22.4,0.411061286,0.377130789,-8.254364432,0.411061286,0.377130789,-8.254364432
31,1063,3286.514964,2962.991009,1895.323466,1930.426929,301.2159165,314.0422534,Greene County, Alabama,"9,045","8,905","8,850","8,749","8,585","8,509","8,483","8,318","8,233",18.2,21.0,33.0,36.3,25398.0,37.7,0.0,0.235626767,,0.224542495,0.235626767,4.936380773
32,1065,87.11485878,1864.54135,35.66001596,732.4471013,506.517277,601.9782979,Hale County, Alabama,"15,760","15,358","15,360","15,247","15,047","15,018","14,835","14,809","14,726",15.1,16.0,33.0,36.3,35470.0,28.5,0.26045058,0.673536741,158.6044319,0.325563224,0.134707348,-58.6232909
33,1067,386.3128906,805.472428,172.8132423,370.6379022,345.8180348,317.6457136,Henry County, Alabama,"17,302","17,377","17,156","17,132","17,082","17,106","17,083","17,140","17,209",13.5,18.7,33.0,36.3,42501.0,17.0,0.575506446,0.76058975,32.16007489,0.172651934,0.117013808,-32.22560262
34,1069,21404.32788,18340.74904,7445.464295,6379.797852,997.4132792,918.3181199,Houston County, Alabama,"101,547","102,470","103,365","103,638","104,156","104,268","104,239","104,373","104,722",12.4,13.7,33.0,36.3,43568.0,18.3,0.888082133,1.113532297,25.38618399,0.156146309,0.163190078,4.511005731
35,1071,4855.062529,4218.966738,2174.282572,1741.859186,752.3885816,755.9317365,Jackson County, Alabama,"53,227","53,209","53,077","52,958","52,562","52,218","52,048","51,907","51,736",11.9,14.9,33.0,36.3,40201.0,18.4,0.563782605,0.61480528,9.050061801,0.206720289,0.211339315,2.234432938
36,1073,209261.4587,205657.8678,75209.93406,80804.25186,7538.35568,7229.28466,Jefferson County, Alabama,"658,466","657,973","657,967","659,196","659,918","660,370","660,326","659,546","659,300",12.0,13.0,33.0,36.3,48415.0,18.0,0.919747822,1.074654375,16.84228541,0.155064922,0.162183382,4.590632291
37,1075,92.38193741,229.9526122,52.19318532,109.3285386,208.631802,238.5561045,Lamar County, Alabama,"14,564","14,287","14,245","14,210","14,067","13,925","13,927","13,902","13,844",12.7,14.9,33.0,36.3,36520.0,24.7,0.349968503,0.430138361,22.90773532,0.279974802,0.286758907,2.423112768
38,1077,14583.69352,12476.09671,5172.541611,4670.748106,902.9577697,1245.422925,Lauderdale County, Alabama,"92,709","92,606","92,664","92,706","93,013","92,477","92,457","92,591","92,387",12.8,14.2,33.0,36.3,43008.0,17.3,0.734317463,0.769072455,4.732965555,0.205176938,0.205808122,0.307628982
39,1079,1349.438484,1648.244355,564.6905246,728.8412136,465.2305074,473.1504484,Lawrence County, Alabama,"34,339","34,049","33,807","33,577","33,448","33,138","33,233","33,077","32,957",12.9,15.6,33.0,36.3,41771.0,18.7,0.528680941,0.451372171,-14.62295378,0.17622698,0.090274434,-48.77377227
40,1081,43794.80745,36835.88687,15920.39105,17179.56149,1538.824771,1269.090941,Lee County, Alabama,"140,247","144,130","148,581","151,831","154,545","157,009","159,297","161,641","163,941",9.6,9.5,33.0,36.3,46442.0,21.0,0.742452313,0.9120472,22.84252928,0.090204487,0.113219652,25.51443575
41,1083,10137.457,9339.421673,3269.77431,2912.563689,872.1325006,838.9781231,Limestone County, Alabama,"82,782","85,542","87,313","88,910","90,596","91,571","92,841","94,076","96,174",10.4,12.6,33.0,36.3,55060.0,14.3,0.467672162,0.55962118,19.66099871,0.151993453,0.107619458,-29.19467532
42,1085,5502.701934,2539.864392,2962.513063,1475.891758,553.2333709,455.8672131,Lowndes County, Alabama,"11,299","11,139","10,853","10,665","10,498","10,353","10,253","10,104","9,974",17.1,23.5,33.0,36.3,31117.0,35.2,0.08984726,0.097646714,8.680792891,0.179694519,0.195293428,8.680792891
43,1087,7505.708743,8050.779305,4121.53955,4641.926293,842.8071728,890.3258681,Macon County, Alabama,"21,452","21,281","20,611","20,026","19,648","19,306","19,064","18,811","18,439",16.2,18.4,33.0,36.3,29522.0,32.2,0.516820147,0.471895973,-8.692419158,0.234918248,0.209731544,-10.72147651
44,1089,110052.1281,88544.03045,27134.82183,25001.49288,2828.198932,2335.562215,Madison County, Alabama,"334,811","339,527","342,713","346,633","349,807","352,989","356,821","361,665","366,519",13.0,11.5,33.0,36.3,59117.0,13.3,0.88360298,0.934574193,5.76856519,0.111923044,0.129100339,15.34741581
45,1091,5586.990602,5125.005617,3183.291705,2655.493659,412.5119049,574.561647,Marengo County, Alabama,"21,027","20,651","20,367","20,114","19,980","19,760","19,516","19,366","19,066",15.9,20.2,33.0,36.3,35389.0,23.3,0.677998935,0.922840297,36.11235214,0.242142477,0.153806716,-36.48090233
46,1093,538.0911004,1929.43172,195.7682508,1001.618039,438.4301899,535.5055797,Marion County, Alabama,"30,776","30,651","30,487","30,228","30,202","30,123","29,964","29,771","29,763",11.7,18.7,33.0,36.3,34977.0,19.8,0.75040783,0.634984292,-15.38144102,0.195758564,0.100260678,-48.78350378
47,1095,12813.73718,10484.79843,6102.726107,4825.365658,1255.949116,1136.227181,Marshall County, Alabama,"93,019","93,892","94,268","94,370","94,277","94,606","95,123","95,609","96,109",11.5,12.8,33.0,36.3,40599.0,20.1,0.745553307,0.841724272,12.89927416,0.234316754,0.231474175,-1.213135107
48,1097,112773.596,103768.6435,43729.81805,42397.45022,3561.680403,3247.754796,Mobile County, Alabama,"412,992","413,242","413,922","414,210","414,590","414,935","415,499","414,515","413,757",12.2,15.6,33.0,36.3,42530.0,18.4,0.621926666,0.665297504,6.973625698,0.142776939,0.134987899,-5.455390503
49,1099,7149.038887,5711.640664,3909.232972,2961.82201,629.2498529,827.40221,Monroe County, Alabama,"23,068","22,796","22,582","22,171","21,927","21,717","21,545","21,302","21,067",13.5,17.8,33.0,36.3,35163.0,28.6,0.438596491,0.463563879,5.692564435,0.263157895,0.23178194,-11.92286297
50,1101,64259.79931,66180.65498,25876.15529,33423.09991,2359.201669,2820.682724,Montgomery County, Alabama,"229,363","229,168","228,861","228,173","227,546","227,244","227,072","227,079","225,763",12.7,13.5,33.0,36.3,42666.0,22.8,0.763651914,0.961555426,25.91540833,0.152730383,0.14996736,-1.80908525
51,1103,14009.67177,15514.27958,4196.591136,4880.212745,1008.322203,978.9835779,Morgan County, Alabama,"119,490","120,013","120,092","119,574","119,458","119,281","118,970","118,811","119,089",11.0,12.6,33.0,36.3,47234.0,16.4,0.808286183,0.757454616,-6.288808161,0.158324098,0.151490923,-4.315940965
52,1105,971.6627797,881.5494764,592.7410004,517.3827952,454.1204,349.456143,Perry County, Alabama,"10,591","10,455","10,171","10,005","9,804","9,638","9,528","9,319","9,140",17.5,21.7,33.0,36.3,26218.0,40.0,0.190985485,0.208986416,9.425287356,0.38197097,0.313479624,-17.93103448
53,1107,851.4306553,529.13864,418.9662612,176.1656846,605.2068096,477.7190807,Pickens County, Alabama,"19,746","19,354","19,312","19,305","20,283","20,776","20,309","20,182","19,938",14.9,16.4,33.0,36.3,33160.0,24.3,0.310013434,0.344572976,11.14775617,0.206675623,0.246123554,19.08688162
54,1109,3732.811063,4535.497138,1899.79273,2074.066321,571.0525341,563.044138,Pike County, Alabama,"32,899","33,017","33,210","33,713","33,197","33,522","33,521","33,435","33,338",12.9,13.5,33.0,36.3,34442.0,25.9,0.819000819,1.0236339,24.98569923,0.242666909,0.210748156,-13.15331928
55,1111,1061.068693,3374.629464,469.009738,1561.631639,422.2256034,457.7058926,Randolph County, Alabama,"22,913","22,743","22,534","22,548","22,355","22,598","22,508","22,683","22,725",12.9,14.9,33.0,36.3,37333.0,18.7,0.395778364,0.444483954,12.30627908,0.175901495,0.133345186,-24.19326162
56,1113,8511.76217,6225.855694,4129.424492,2936.812958,756.0381142,603.5345766,Russell County, Alabama,"52,947","54,831","57,482","59,133","59,211","58,837","58,208","57,028","57,781",13.6,12.9,33.0,36.3,36124.0,23.0,0.784199296,0.825068326,5.21156167,0.145897543,0.206267081,41.37803599
57,1115,3743.674718,4561.840118,972.1001354,1310.619878,943.7147493,683.4964636,St. Clair County, Alabama,"83,593","83,963","84,748","85,805","85,995","86,546","87,323","87,976","88,690",11.4,12.8,33.0,36.3,53558.0,12.4,0.546246927,0.628700761,15.09460828,0.142499198,0.160032921,12.30443596
58,1117,52013.60579,47122.31837,7448.570772,8393.492716,968.8696688,1358.981215,Shelby County, Alabama,"195,085","197,992","200,964","204,108","206,356","209,084","211,430","213,729","215,707",8.0,8.7,33.0,36.3,70879.0,8.5,0.687267858,0.767506976,11.67508676,0.141496324,0.123180132,-12.94464136
59,1119,2223.779005,2304.525378,1455.991037,1427.620249,446.1580396,593.5605493,Sumter County, Alabama,"13,763","13,491","13,441","13,396","13,275","13,206","12,974","12,780","12,691",17.1,20.1,33.0,36.3,25931.0,33.2,0.518864428,0.618620476,19.22584066,0.370617449,0.154655119,-58.27095577
60,1121,12352.35949,11038.38725,4888.292108,4817.862041,1225.704174,1244.862038,Talladega County, Alabama,"82,291","81,777","82,078","81,513","81,450","81,055","80,468","80,022","79,828",13.6,15.3,33.0,36.3,37911.0,22.4,0.562402191,0.621998856,10.5968052,0.13448748,0.099519817,-26.00068307
61,1123,4597.92268,3484.730858,2014.115895,1799.873021,998.6999736,1064.985018,Tallapoosa County, Alabama,"41,616","41,397","41,044","41,028","40,887","40,611","40,570","40,613","40,497",14.3,13.7,33.0,36.3,39051.0,21.7,0.628110354,0.56686548,-9.750655023,0.144948543,0.147877951,2.020998669
62,1125,39478.45762,34859.58024,14355.3079,12641.04349,1715.597238,1416.145729,Tuscaloosa County, Alabama,"194,656","196,719","198,794","201,084","203,097","204,736","206,614","207,709","208,911",11.1,12.3,33.0,36.3,47868.0,20.0,0.79817386,0.828962294,3.857359448,0.137265568,0.121193318,-11.70887246
63,1127,7529.76094,7858.659654,2597.768674,3491.945044,1251.888692,1195.296728,Walker County, Alabama,"67,023","66,577","66,096","65,768","65,336","64,933","64,548","63,935","63,711",13.3,16.7,33.0,36.3,37305.0,20.6,0.735989906,0.697015226,-5.29554552,0.150202022,0.154892272,3.122628212
64,1129,1708.300483,1478.896947,609.6682821,630.0267184,324.1114044,275.0898538,Washington County, Alabama,"17,581","17,354","17,146","16,897","16,868","16,828","16,610","16,532","16,378",12.9,17.8,33.0,36.3,42658.0,22.4,0.172860847,0.120148985,-30.49381233,0.172860847,0.180223477,4.259281509
65,1131,5173.220579,4997.128568,3217.071529,3555.235862,565.2080581,597.5051522,Wilcox County, Alabama,"11,670","11,442","11,308","11,152","10,953","10,903","10,851","10,712","10,627",17.1,19.3,33.0,36.3,23014.0,33.2,0.437062937,0.275862069,-36.88275862,0.786713287,0.643678161,-18.18135377
66,1133,1011.264406,1459.032655,355.5345345,650.0533453,206.3511693,407.1480827,Winston County, Alabama,"24,484","24,358","24,190","24,186","24,137","23,929","23,906","23,745","23,660",10.0,13.2,33.0,36.3,36497.0,18.9,0.4927322,0.460501528,-6.541214887,0.36954915,0.251182652,-32.02997446
67,2013,1226.050471,2203.00003,699.7189612,1097.387178,113.4955365,121.3170448,Aleutians East Borough, Alaska,"3,141","3,260","3,295","3,345","3,348","3,381","3,388","3,495","3,515",5.5,7.6,25.7,34.2,57015.0,17.4,0.306560392,0.300842359,-1.865222623,1.22624157,1.203369434,-1.865222623
68,2016,764.4765797,1243.229053,418.9456263,476.8027975,108.4367965,139.5008316,Aleutians West Census Area, Alaska,"5,561","5,581","5,675","5,777","5,822","5,781","5,698","5,726","5,723",5.9,6.2,25.7,34.2,80695.0,8.5,0.357973868,0.0,-100.0,0.536960802,0.696015312,29.62125167
69,2020,87979.27762,80039.72364,13341.80298,14923.51128,1036.57455,993.5472722,Anchorage Municipality, Alaska,"291,826","296,154","298,233","301,155","299,927","297,613","297,216","294,264","291,538",7.0,7.0,25.7,34.2,77791.0,8.7,0.678387126,0.6994512,3.105022611,0.108001931,0.110970623,2.748740231
70,2050,13272.65514,11504.86349,6561.877289,7143.35017,2831.11102,2488.985747,Bethel Census Area, Alaska,"17,013","17,415","17,654","17,847","17,933","17,955","18,019","18,079","18,216",5.5,5.8,25.7,34.2,44849.0,24.2,0.40192926,0.333704116,-16.97441602,1.320624713,1.27919911,-3.136818687
71,2060,434.1425696,996.9999981,72.21794624,176.1024336,58.69422217,41.44974882,Bristol Bay Borough, Alaska,997,"1,030",980,952,949,905,903,870,877,6.8,8.5,25.7,34.2,66373.0,9.0,0.0,0.0,0.0,2.912621359,2.209944751,-24.1252302
72,2068,1826.000014,1826.000014,338.3124912,418.7696352,22.22102389,3.625863904,Denali Borough, Alaska,"1,826","1,872","1,908","1,942","1,915","1,927","2,039","2,066","2,059",6.0,5.8,25.7,34.2,73000.0,6.6,0.534759358,1.466992665,174.3276284,0.0,0.488997555,
73,2070,1578.584702,2461.509666,800.40912,1560.616205,419.0256318,541.4200812,Dillingham Census Area, Alaska,"4,847","4,948","4,951","4,979","4,983","4,987","4,970","4,935","5,000",7.8,7.2,25.7,34.2,50753.0,20.0,0.202101859,0.20096463,-0.562700965,1.212611156,0.803858521,-33.70846731
74,2090,36249.0367,33612.38394,9736.744937,7100.793605,1154.44536,819.0007292,Fairbanks North Star Borough, Alaska,"97,581","98,104","100,305","100,928","99,256","99,630","100,683","99,725","98,971",5.2,5.5,25.7,34.2,70881.0,8.1,0.438167441,0.43736705,-0.182667782,0.081519524,0.069581122,-14.64483808
75,2100,519.2357221,518.8941366,122.6415652,186.6198209,23.16225686,30.82692701,Haines Borough, Alaska,"2,508","2,573","2,577","2,558","2,555","2,516","2,527","2,518","2,474",6.6,7.9,25.7,34.2,57876.0,10.9,0.388500389,0.395100751,1.698933228,1.165501166,1.185302252,1.698933228
76,2105,1694.916244,2136.904788,691.0217536,833.5112167,257.6291458,262.3165505,Hoonah-Angoon Census Area, Alaska,"2,150","2,090","2,120","2,121","2,103","2,137","2,128","2,139","2,151",,7.3,25.7,34.2,53726.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0
77,2110,10138.15807,10062.6729,1918.600926,1847.190111,348.3460802,326.6536421,Juneau City and Borough, Alaska,"31,275","32,152","32,378","32,587","32,476","32,601","32,400","32,061","32,113",5.3,5.9,25.7,34.2,82892.0,8.0,0.715129656,0.864064188,20.82622784,0.186555562,0.123437741,-33.83325619
78,2122,11289.68828,10888.78506,3272.637231,3232.789851,739.6387282,868.9158729,Kenai Peninsula Borough, Alaska,"55,400","56,302","56,906","57,015","57,565","58,029","58,452","58,522","58,533",6.3,7.2,25.7,34.2,62025.0,11.4,0.586104007,0.751584306,28.2339477,0.337453822,0.290384845,-13.94827194
79,2130,1036.074208,1062.598917,119.75557,217.5016473,118.1239603,48.42102737,Ketchikan Gateway Borough, Alaska,"13,477","13,665","13,723","13,716","13,801","13,706","13,714","13,882","13,918",7.2,8.9,25.7,34.2,65314.0,10.3,0.513046028,0.801340424,56.19269635,0.219876869,0.291396518,32.5271363
80,2150,1415.661102,1948.659208,502.6173542,626.0822675,230.3492931,95.646433,Kodiak Island Borough, Alaska,"13,592","13,806","14,038","14,089","13,904","13,766","13,710","13,519","13,345",6.2,6.6,25.7,34.2,67515.0,7.5,0.361794501,0.438628555,21.23693252,0.361794501,0.365523796,1.030777104
81,2164,1630.999993,1628.68562,748.8588642,709.7515764,296.0880401,272.0474083,Lake and Peninsula Borough, Alaska,"1,631","1,648","1,647","1,665","1,645","1,592","1,598","1,607","1,587",7.2,7.4,25.7,34.2,42120.0,19.3,0.0,0.0,0.0,0.0,1.248439451,
82,2170,20435.7281,23011.25533,5137.502176,6784.926225,819.9367613,740.7372748,Matanuska-Susitna Borough, Alaska,"88,995","91,716","93,670","95,877","98,104","101,068","104,157","106,383","107,610",5.8,8.2,25.7,34.2,76601.0,9.8,0.403397259,0.345744936,-14.29169919,0.130831543,0.09604026,-26.59242755
83,2180,5066.067036,5276.007638,3414.199799,3615.820303,1233.138619,1293.655513,Nome Census Area, Alaska,"9,492","9,775","9,819","9,845","9,803","9,885","9,961","9,968","10,008",7.1,6.0,25.7,34.2,52952.0,21.4,0.306905371,0.100857287,-67.13733401,1.534526854,1.916288452,24.87813078
84,2185,3628.633664,5522.182352,360.1661926,1244.494401,311.9552401,584.7213971,North Slope Borough, Alaska,"9,430","9,550","9,692","9,786","9,769","9,795","9,718","9,831","9,872",7.1,6.5,25.7,34.2,70834.0,12.6,0.314169023,0.309757357,-1.404233351,1.047230076,0.826019618,-21.12338668
85,2188,4322.337073,4322.062938,2432.356088,2561.965826,838.0464254,829.8414235,Northwest Arctic Borough, Alaska,"7,523","7,705","7,707","7,725","7,771","7,771","7,689","7,767","7,671",6.6,6.5,25.7,34.2,53774.0,26.3,0.129785853,0.391542678,201.6836335,0.908500973,1.044113808,14.92709848
86,2195,183.3436815,180.2305477,59.04486577,25.25958408,83.61729772,22.24101296,Petersburg Borough, Alaska,"3,815","3,254","3,278","3,293","3,265","3,259","3,270","3,259","3,221",,7.1,25.7,34.2,63098.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
87,2198,1390.579689,1758.792648,435.7209158,820.7861325,101.5852154,274.6470379,Prince of Wales-Hyder Census Area, Alaska,"5,559","6,374","6,421","6,443","6,460","6,505","6,516","6,469","6,422",,7.3,25.7,34.2,45305.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0
