State,County,_Census_Population,Population_Estimate_,FIPS,FIPS,PCT_LACCESS_POP,PCT_LACCESS_LOWI,PCT_LACCESS_HHNV,PCT_LACCESS_SNAP,GROCPTH,SUPERCPTH,CONVSPTH,SNAPSPTH,WICSPTH,FFRPTH,FSRPTH,PC_FFRSALES,PC_FSRSALES,REDEMP_SNAPS,PCT_SNAP,PC_SNAPBEN,SNAP_PART_RATE,PC_WIC_REDEMP,REDEMP_WICS,PCT_WIC,PCT_WICINFANTCHILD,FOOD_BANKS,FOODINSEC__,VLFOODSEC__,FMRKTPTH,FOODHUB,PCT_DIABETES_ADULTS,PCT_OBESE_ADULTS,PCT_HSPA,RECFACPTH,MEDHHINC,POVRATE,PERPOV,CHILDPOVRATE,PERCHLDPOV,METRO
 Alabama,Autauga County,54571.0,55107.125,1001.0,1001.0,32.9159560237585,10.892327698172254,3.3180585935139635,4.608749252541551,0.0724262255,0.018103349999999997,0.5612030715,0.7393754800715466,0.09053871408104891,0.705964944,0.5702612065,662.1570436787921,498.3312471555273,262308.87971362565,17.70426625124776,17.413082122802734,85.459,15.116588115692139,166961.0234375,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.0181312402710318,,12.2,34.65,,0.090503679,56580.0,12.7,0.0,18.8,0.0,1.0
 Alabama,Baldwin County,182265.0,201513.25,1003.0,1003.0,18.04298096384901,5.4423436106553424,2.026470812812927,1.2989003685463132,0.14224935249999998,0.032949599999999996,0.5711360005,0.807945711237771,0.13709115982055659,0.7002249655,1.1476329545,662.1570436787921,498.3312471555273,216008.81861531117,17.70426625124776,13.685040950775146,85.459,15.49066686630249,112829.8984375,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.0194357959553599,,10.100000000000001,34.65,,0.0934878385,52387.0,12.9,0.0,19.6,0.0,1.0
 Alabama,Barbour County,27457.0,26297.25,1005.0,1005.0,21.473265888265757,11.079991144698436,4.232623724853635,4.303147049779694,0.1872827825,0.0193994,0.7707675795,1.3526021706886413,0.24416425824165344,0.7935225565,0.5823662695,662.1570436787921,498.3312471555273,291264.31982721953,17.70426625124776,30.119184494018555,85.459,22.98316764831543,94557.1953125,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.13605364412069315,,16.0,34.65,,0.0365617345,31433.0,32.0,1.0,45.2,1.0,0.0
 Alabama,Bibb County,22915.0,22570.125,1007.0,1007.0,4.395038551921823,2.3731439996635304,3.1400037697344088,0.6767103234591161,0.2423553005,0.0440745,0.7490487555,0.7602727265128868,0.2426225915551185,0.28653857250000003,0.2645557195,662.1570436787921,498.3312471555273,292084.63856880734,17.70426625124776,19.99641990661621,85.459,21.782374382019043,90574.59765625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.0445278603583574,,12.95,34.65,,0.02209165,40767.0,22.2,0.0,29.3,1.0,1.0
 Alabama,Blount County,57322.0,57620.25,1009.0,1009.0,4.599110116161718,1.9713087384021493,3.30289699407135,0.8127274929922376,0.104235433,0.0173726,0.49511830700000004,0.6747586968933103,0.13904460519552225,0.373510302,0.23452972449999998,662.1570436787921,498.3312471555273,186295.42409587244,17.70426625124776,16.325138568878174,85.459,15.485590934753418,111375.16015625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.017323435284197247,,12.75,34.65,,0.0608039945,50487.0,14.7,0.0,22.2,0.0,1.0
 Alabama,Bullock County,10914.0,10449.375,1011.0,1011.0,37.71249731161957,19.947540442416805,9.195000789323618,6.016622830144433,0.237341215,0.0,0.38100561499999996,1.1773306231378233,0.23815402388572687,0.33101802999999996,0.1415649485,662.1570436787921,498.3312471555273,191291.41751620284,17.70426625124776,32.57172966003418,85.459,,194309.3515625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.09670826792716974,,17.25,34.65,,0.0,28251.0,39.6,1.0,51.2,1.0,0.0
 Alabama,Butler County,20947.0,20258.125,1013.0,1013.0,6.23513739876536,2.879075522548379,4.211517917841179,1.0768789929632352,0.1469705605,0.0489902,1.077784111,1.2993662041757386,0.1956498250365257,0.857877003,0.5606434825,662.1570436787921,498.3312471555273,324272.04720444296,17.70426625124776,30.323017120361328,85.459,34.65855407714844,177424.1015625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.09989517182111735,,16.4,34.65,,0.02504385,33868.0,25.8,1.0,36.0,1.0,0.0
 Alabama,Calhoun County,118572.0,115885.625,1015.0,1015.0,24.747468774461005,9.61119523441588,2.6277068046671634,4.080320207731614,0.21929226899999998,0.0301294,0.7345978945,1.1806063542151257,0.16759012639522544,0.7994123909999999,0.6572554485,662.1570436787921,498.3312471555273,275384.632512329,17.70426625124776,26.010788917541504,85.459,21.491558074951172,128555.2890625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.0216216733679175,,14.7,34.65,,0.0644002815,42091.0,20.0,0.0,30.7,0.0,1.0
 Alabama,Chambers County,34215.0,33926.0,1017.0,1017.0,20.283090660922255,9.575041593597545,4.833481232238312,3.607493205587612,0.221345092,0.0295218,0.7082495639999999,1.0317051300367073,0.17699111998081204,0.767977307,0.531392415,662.1570436787921,498.3312471555273,299221.85551572416,17.70426625124776,26.03843402862549,85.459,12.26364278793335,69270.15625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.02951860241591925,,16.25,34.65,,0.0,35560.0,22.4,0.0,34.4,1.0,0.0
 Alabama,Cherokee County,25989.0,25905.75,1019.0,1019.0,0.3519426169652256,0.1768993883266701,3.193225965225301,0.0460056776264841,0.17397088249999998,0.038641350000000005,0.6763086425,1.125832192686305,0.193002812564373,0.6180923885,0.367516653,662.1570436787921,498.3312471555273,208382.7002044318,17.70426625124776,22.053608894348145,85.459,21.7446870803833,113751.78515625,2.7456259463741377,33.19604360068627,0.0,16.55,7.15,0.038419425487518255,,13.45,34.65,,0.038641350000000005,39144.0,19.4,0.0,30.2,0.0,0.0
